Game Completed Date,User ID,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region,Game Code
2020-11-29 19:14:29,2,Crewmate,Loss,5.0,Yes,No,,545,No,0.0,03m 54s,--,Europe , PSHLQQ
2020-12-27 21:04:29,3,Crewmate,Loss,1.0,No,No,,811,No,0.0,,---,Europe , HZJCWQ
2020-12-27 20:41:45,3,Crewmate,Loss,1.0,No,Yes,,939,No,0.0,,---,Europe , HZJCWQ
2020-12-27 20:24:28,3,Crewmate,Win,0.0,No,No,,257,No,0.0,,,Europe , HZJCWQ
2020-12-27 20:16:18,3,Crewmate,Win,2.0,No,No,,502,No,0.0,,++,Europe , HZJCWQ
2020-12-27 20:06:30,3,Imposter,Loss,,,,2.0,520,No,,,-,Europe , HZJCWQ
2020-12-27 19:55:20,3,Crewmate,Loss,1.0,No,Yes,,523,No,0.0,,---,Europe , HZJCWQ
2020-12-27 19:42:35,3,Imposter,Loss,,,,1.0,409,No,,,--,Europe , HZJCWQ
2020-12-27 19:28:45,3,Crewmate,Loss,0.0,No,Yes,,520,No,0.0,,,Europe , HZJCWQ
2020-12-27 19:19:36,3,Crewmate,Win,6.0,No,No,,793,No,0.0,,++,Europe , HZJCWQ
2020-12-27 19:01:30,3,Crewmate,Loss,4.0,No,No,,511,No,0.0,,---,Europe , HZJCWQ
2020-12-27 18:47:45,3,Crewmate,Win,0.0,No,No,,20,No,0.0,,,Europe , HOEVQQ
2020-12-04 22:54:42,3,Crewmate,Loss,7.0,Yes,Yes,,1086,No,1.0,09m 36s,--,NA , YDRIIF
2020-12-04 22:31:50,3,Crewmate,Loss,4.0,No,No,,874,No,2.0,,---,NA , YDRIIF
2020-12-04 22:10:37,3,Crewmate,Win,8.0,Yes,No,,648,No,0.0,10m 48s,++,NA , CRQDGF
2020-12-04 21:58:18,3,Imposter,Win,,,,3.0,514,No,,,+++,NA , CRQDGF
2020-12-04 21:47:50,3,Imposter,Loss,,,,1.0,735,No,,,--,NA , CRQDGF
2020-11-28 14:40:58,3,Imposter,Loss,,,,3.0,1130,No,,,-,Europe , DJCWJF
2020-11-28 14:17:58,3,Crewmate,Loss,7.0,Yes,Yes,,909,No,0.0,15m 08s,--,Europe , DJCWJF
2020-11-28 14:00:03,3,Crewmate,Loss,7.0,Yes,No,,865,No,0.0,07m 02s,--,Europe , DJCWJF
2020-11-28 13:43:49,3,Crewmate,Win,6.0,No,No,,1091,No,1.0,,++,Europe , DJCWJF
2020-11-28 13:21:42,3,Crewmate,Loss,5.0,No,Yes,,1169,No,1.0,,---,Europe , DJCWJF
2020-11-28 12:57:12,3,Crewmate,Win,5.0,No,Yes,,704,No,0.0,,++,Europe , DJCWJF
2020-11-28 00:36:59,3,Crewmate,Win,5.0,No,No,,504,No,0.0,,++,Europe , OXLMSF
2020-11-28 00:25:53,3,Crewmate,Win,6.0,No,No,,662,No,0.0,,++,Europe , NSQIDF
2020-11-27 23:49:11,3,Crewmate,Loss,7.0,Yes,No,,827,No,3.0,13m 21s,--,Europe , NSQIDF
2020-11-27 23:31:30,3,Crewmate,Win,7.0,Yes,No,,1193,Yes,1.0,16m 32s,++,Europe , NSQIDF
2020-11-27 23:05:51,3,Crewmate,Win,7.0,Yes,No,,839,No,1.0,13m 58s,++,Europe , NSQIDF
2020-11-27 22:48:41,3,Crewmate,Win,5.0,No,No,,1540,No,0.0,,++,Europe , NSQIDF
2020-11-27 22:20:36,3,Imposter,Loss,,,,4.0,831,Yes,,,-,Europe , JHDOOF
2020-11-27 22:04:41,3,Crewmate,Win,2.0,No,No,,538,No,1.0,,++,Europe , JHDOOF
2020-11-27 18:44:27,3,Crewmate,Win,7.0,Yes,No,,1114,No,0.0,18m 32s,++,Europe , CMESWQ
2020-11-27 18:21:04,3,Crewmate,Loss,7.0,Yes,No,,834,No,0.0,06m 14s,--,Europe , CMESWQ
2020-11-27 18:03:41,3,Crewmate,Loss,5.0,No,Yes,,1017,No,0.0,,---,Europe , CMESWQ
2020-11-27 17:43:52,3,Crewmate,Win,7.0,Yes,No,,1194,No,1.0,19m 16s,++,Europe , CMESWQ
2020-11-27 17:19:40,3,Crewmate,Win,7.0,Yes,No,,893,No,2.0,12m 32s,++,Europe , CMESWQ
2020-11-27 17:03:43,3,Crewmate,Win,7.0,Yes,Yes,,886,No,1.0,10m 49s,++,Europe , CMESWQ
2020-11-27 16:45:06,3,Crewmate,Win,6.0,No,Yes,,1046,No,2.0,,++,Europe , CMESWQ
2020-11-27 16:22:35,3,Crewmate,Loss,6.0,No,Yes,,728,No,1.0,,---,Europe , CMESWQ
2020-11-27 15:57:29,3,Imposter,Win,,,,4.0,811,No,,,+++,Europe , ACLNSF
2020-11-27 15:41:51,3,Crewmate,Loss,1.0,No,No,,391,No,0.0,,---,Europe , RTJZNF
2020-11-27 15:34:54,3,Crewmate,Win,0.0,No,No,,242,No,0.0,,,Europe , RTJZNF
2020-11-27 15:30:20,3,Crewmate,Win,1.0,No,Yes,,197,No,0.0,,,Europe , RTJZNF
2020-11-27 15:00:25,3,Crewmate,Loss,6.0,Yes,Yes,,741,No,1.0,12m 19s,--,Europe , EHCIQQ
2020-11-27 14:31:59,3,Crewmate,Win,0.0,No,Yes,,519,No,0.0,,,Europe , EHCIQQ
2020-11-27 14:21:25,3,Crewmate,Loss,6.0,Yes,Yes,,823,No,0.0,05m 12s,--,Europe , EHCIQQ
2020-11-27 02:14:49,3,Crewmate,Loss,4.0,No,No,,660,Yes,0.0,,---,Europe , JJHDWQ
2020-11-27 02:02:58,3,Crewmate,Loss,0.0,No,No,,204,No,1.0,,,Europe , JJHDWQ
2020-11-27 01:54:01,3,Imposter,Win,,,,1.0,1302,No,,,+++,Europe , JJHDWQ
2020-11-27 01:30:59,3,Imposter,Loss,,,,2.0,1098,Yes,,,-,Europe , JJHDWQ
2020-11-27 00:49:43,3,Crewmate,Loss,6.0,No,Yes,,915,No,1.0,,---,Europe , ATIEWQ
2020-11-27 00:31:03,3,Crewmate,Loss,1.0,No,Yes,,766,No,0.0,,---,Europe , ATIEWQ
2020-11-27 00:17:36,3,Imposter,Loss,,,,2.0,960,Yes,,,-,Europe , ATIEWQ
2020-11-26 23:54:19,3,Crewmate,Win,7.0,Yes,No,,798,No,0.0,09m 29s,++,Europe , ATIEWQ
2020-11-26 23:13:02,3,Crewmate,Win,7.0,No,No,,518,No,0.0,,++,Europe , SJHCDF
2020-11-26 23:01:30,3,Crewmate,Loss,1.0,No,Yes,,629,No,0.0,,---,Europe , SJHCDF
2020-11-26 22:45:44,3,Crewmate,Win,7.0,No,Yes,,404,No,0.0,,++,Europe , SJHCDF
2020-11-26 22:36:25,3,Crewmate,Win,8.0,Yes,Yes,,530,No,1.0,08m 27s,++,Europe , SJHCDF
2020-11-26 22:25:13,3,Crewmate,Loss,2.0,No,Yes,,358,No,1.0,,---,Europe , SJHCDF
2020-11-26 22:11:45,3,Crewmate,Win,8.0,Yes,No,,947,No,0.0,15m 46s,++,Europe , SJHCDF
2020-11-26 21:49:12,3,Crewmate,Win,7.0,No,No,,659,No,0.0,,++,Europe , SJHCDF
2020-11-26 21:34:23,3,Imposter,Loss,,,,4.0,1174,No,,,-,Europe , SJHCDF
2020-11-26 21:10:21,3,Crewmate,Loss,2.0,No,Yes,,1178,No,0.0,,---,Europe , SJHCDF
2020-11-26 20:46:52,3,Crewmate,Loss,3.0,No,Yes,,680,No,0.0,,---,Europe , SJHCDF
2020-11-26 20:30:21,3,Crewmate,Win,8.0,Yes,Yes,,442,No,0.0,06m 27s,++,Europe , SJHCDF
2020-11-26 20:15:59,3,Crewmate,Win,4.0,No,Yes,,342,No,0.0,,++,Europe , SJHCDF
2020-11-26 20:04:31,3,Crewmate,Win,7.0,Yes,No,,996,No,0.0,02m 32s,++,Europe , IMZDKF
2020-11-26 16:32:31,3,Imposter,Win,,,,3.0,640,No,,,+++,Europe , TIMRQQ
2020-11-26 16:20:25,3,Crewmate,Win,3.0,No,No,,663,No,2.0,,++,Europe , TIMRQQ
2020-11-26 16:04:54,3,Crewmate,Loss,5.0,No,No,,1315,No,0.0,,---,Europe , TIMRQQ
2020-11-26 15:17:33,3,Crewmate,Loss,6.0,No,No,,706,No,0.0,,---,Europe , TIMRQQ
2020-11-26 15:01:20,3,Imposter,Win,,,,1.0,571,No,,,+++,Europe , TIMRQQ
2020-11-26 14:36:33,3,Crewmate,Loss,7.0,Yes,No,,900,No,0.0,11m 54s,--,Europe , TIMRQQ
2020-11-26 03:30:08,3,Crewmate,Loss,7.0,No,No,,927,No,1.0,,---,NA , ZZEDNF
2020-11-26 03:12:43,3,Crewmate,Loss,7.0,No,Yes,,1464,No,0.0,,---,NA , ZZEDNF
2020-11-26 02:46:54,3,Crewmate,Win,4.0,No,No,,963,No,2.0,,++,NA , ZZEDNF
2020-11-26 02:30:18,3,Crewmate,Loss,5.0,No,No,,688,No,1.0,,---,NA , ZZEDNF
2020-11-26 02:17:34,3,Crewmate,Loss,1.0,No,No,,456,No,0.0,,---,NA , ZZEDNF
2020-11-26 02:05:54,3,Crewmate,Win,4.0,No,No,,395,No,0.0,,++,NA , ZZEDNF
2020-11-26 00:55:20,3,Crewmate,Win,5.0,No,No,,973,No,1.0,,++,NA , ZZEDNF
2020-11-25 23:53:21,3,Crewmate,Win,5.0,No,Yes,,1188,No,0.0,,++,NA , UHWTVF
